Level,Group,Task,Model,Metric,Unit,AvailableFlightCount,MissingFlightCount,MeanOfFlightMetric,StdOfFlightMetric,MinFlightMetric,MaxFlightMetric,P50FlightMetric,P90FlightMetric,P95FlightMetric,Status
flight,const4-trial2-traj3,position,raw,rmse_m,m,1,0,0.2987,0,0.2987,0.2987,0.2987,0.2987,0.2987,available
flight,const4-trial2-traj3,position,fnn,rmse_m,m,1,0,0.1596,0,0.1596,0.1596,0.1596,0.1596,0.1596,available
flight,const4-trial2-traj3,position,cnn1,rmse_m,m,1,0,0.1484,0,0.1484,0.1484,0.1484,0.1484,0.1484,available
flight,const4-trial2-traj3,position,cnn2,rmse_m,m,1,0,0.1392,0,0.1392,0.1392,0.1392,0.1392,0.1392,available
flight,const4-trial2-traj3,position,raw,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj3,position,fnn,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj3,position,cnn1,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial2-traj3,position,cnn2,mae_m,m,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unavailable
flight,const4-trial3-traj1,tdoa,raw,rmse_m,m,1,0,0.6078,0,0.6078,0.6078,0.6078,0.6078,0.6078,available
flight,const4-trial3-traj1,tdoa,fnn,rmse_m,m,1,0,0.4168,0,0.4168,0.4168,0.4168,0.4168,0.4168,available
flight,const4-trial3-traj1,tdoa,cnn1,rmse_m,m,1,0,0.4105,0,0.4105,0.4105,0.4105,0.4105,0.4105,available
flight,const4-trial3-traj1,tdoa,cnn2,rmse_m,m,1,0,0.4282,0,0.4282,0.4282,0.4282,0.4282,0.4282,available
flight,const4-trial3-traj1,tdoa,raw,mae_m,m,1,0,0.3315,0,0.3315,0.3315,0.3315,0.3315,0.3315,available
flight,const4-trial3-traj1,tdoa,fnn,mae_m,m,1,0,0.2356,0,0.2356,0.2356,0.2356,0.2356,0.2356,available
flight,const4-trial3-traj1,tdoa,cnn1,mae_m,m,1,0,0.2185,0,0.2185,0.2185,0.2185,0.2185,0.2185,available
