Flight,Constellation,Trial,Trajectory,Model,Task,Metric,Value,Unit,Status,SourceArtifact
const4-trial3-traj1,const4,trial3,traj1,cnn1,tdoa,mae_m,0.2185,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj1,const4,trial3,traj1,cnn2,tdoa,mae_m,0.2325,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj2,const4,trial3,traj2,raw,tdoa,mae_m,0.2691,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj2,const4,trial3,traj2,fnn,tdoa,mae_m,0.2041,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj2,const4,trial3,traj2,cnn1,tdoa,mae_m,0.188,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj2,const4,trial3,traj2,cnn2,tdoa,mae_m,0.2024,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj3,const4,trial3,traj3,raw,tdoa,mae_m,0.2536,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj3,const4,trial3,traj3,fnn,tdoa,mae_m,0.195,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj3,const4,trial3,traj3,cnn1,tdoa,mae_m,0.1861,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial3-traj3,const4,trial3,traj3,cnn2,tdoa,mae_m,0.1953,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj1,const4,trial4,traj1,raw,tdoa,mae_m,0.3165,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj1,const4,trial4,traj1,fnn,tdoa,mae_m,0.2184,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj1,const4,trial4,traj1,cnn1,tdoa,mae_m,0.2097,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj1,const4,trial4,traj1,cnn2,tdoa,mae_m,0.2182,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj2,const4,trial4,traj2,raw,tdoa,mae_m,0.3003,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj2,const4,trial4,traj2,fnn,tdoa,mae_m,0.2156,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj2,const4,trial4,traj2,cnn1,tdoa,mae_m,0.2054,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj2,const4,trial4,traj2,cnn2,tdoa,mae_m,0.2164,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj3,const4,trial4,traj3,raw,tdoa,mae_m,0.2926,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
const4-trial4-traj3,const4,trial4,traj3,fnn,tdoa,mae_m,0.2103,m,available,C:\Users\ASUS\Desktop\aria thesis\uwb_imu_data_fusion_nn\result\result_overall_tdoa_ma.xlsx
